0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:03 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:37 -0300] "GET /ProjetoTrilhaWeb/pages/admin/?txtbusca=nelson HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:37 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:37 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:37 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:37 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:38 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:38 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:38 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:38 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:39 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:39 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:41 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:41 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:41 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:50:41 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:16 -0300] "GET /ProjetoTrilhaWeb/pages/admin/?txtbusca=nelson HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:16 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:16 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:16 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:16 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:49 -0300] "GET /ProjetoTrilhaWeb/pages/admin/?txtbusca=nelson HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:49 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:49 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:49 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:49 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:54 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:54 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:54 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:54 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:54 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:52:54 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:53:00 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
